iter	Passed	Remaining
0	0	918
1	1	808
2	2	739
3	2	711
4	3	697
5	4	699
6	4	685
7	5	688
8	6	690
9	6	681
10	7	674
11	8	666
12	8	658
13	9	655
14	9	651
15	10	645
16	11	656
17	11	652
18	12	646
19	13	642
20	13	637
21	14	633
22	14	636
23	15	634
24	16	630
25	16	630
26	17	627
27	17	624
28	18	622
29	19	623
30	19	623
31	20	621
32	21	619
33	21	618
34	22	617
35	23	616
36	23	614
37	24	612
38	24	610
39	25	608
40	25	607
41	26	606
42	27	607
43	27	605
44	28	603
45	29	603
46	29	601
47	30	600
48	30	599
49	31	597
50	32	596
51	32	595
52	33	594
53	33	592
54	34	591
55	35	590
56	35	588
57	36	587
58	36	586
59	37	585
60	38	585
61	38	584
62	39	583
63	39	582
64	40	580
65	40	579
66	41	579
67	42	579
68	43	580
69	43	579
70	44	578
71	44	577
72	45	576
73	45	575
74	46	574
75	47	574
76	47	573
77	48	573
78	49	573
79	49	571
80	50	570
81	50	570
82	51	566
83	51	566
84	52	565
85	53	564
86	53	564
87	54	563
88	54	562
89	55	560
90	55	559
91	56	558
92	57	557
93	57	556
94	58	555
95	58	554
96	59	553
97	59	552
98	60	550
99	61	549
100	61	547
101	62	546
102	62	545
103	63	544
104	63	543
105	64	542
106	64	541
107	65	539
108	65	538
109	66	537
110	66	535
111	67	534
112	67	533
113	68	532
114	69	531
115	69	530
116	70	528
117	70	528
118	71	527
119	71	526
120	72	525
121	72	524
122	73	523
123	73	522
124	74	521
125	75	520
126	75	519
127	76	518
128	76	517
129	77	515
130	77	514
131	78	514
132	78	513
133	79	512
134	79	511
135	80	510
136	80	509
137	81	508
138	81	507
139	82	506
140	83	505
141	83	503
142	83	502
143	84	502
144	85	501
145	85	501
146	86	500
147	86	498
148	87	497
149	87	496
150	88	496
151	88	495
152	89	494
153	89	493
154	90	492
155	90	491
156	91	490
157	91	489
158	92	488
159	92	487
160	93	485
161	93	484
162	94	484
163	94	483
164	95	482
165	95	481
166	96	480
167	96	480
168	97	479
169	98	481
170	99	482
171	99	481
172	100	481
173	101	480
174	101	479
175	102	478
176	102	478
177	103	477
178	103	476
179	104	475
180	104	474
181	105	473
182	105	472
183	106	472
184	107	472
185	107	471
186	108	470
187	108	469
188	109	468
189	109	467
190	110	466
191	110	466
192	111	465
193	111	465
194	112	464
195	113	464
196	113	463
197	114	463
198	115	463
199	115	463
200	116	462
201	117	462
202	117	463
203	118	462
204	119	461
205	119	461
206	120	460
207	120	459
208	121	458
209	121	457
210	122	457
211	122	456
212	123	455
213	123	454
214	124	454
215	124	453
216	125	452
217	126	452
218	126	452
219	127	452
220	128	451
221	128	450
222	129	450
223	129	449
224	130	448
225	130	447
226	131	446
227	131	446
228	132	445
229	132	444
230	133	443
231	133	442
232	134	442
233	134	441
234	135	440
235	135	439
236	136	438
237	136	438
238	137	437
239	137	436
240	138	435
241	138	434
242	139	433
243	139	433
244	140	432
245	140	432
246	141	431
247	141	430
248	142	429
249	142	428
250	143	428
251	144	427
252	144	426
253	145	425
254	145	425
255	146	424
256	146	423
257	147	422
258	147	422
259	148	421
260	148	420
261	149	420
262	149	419
263	150	418
264	150	417
265	151	417
266	151	416
267	152	415
268	152	414
269	153	413
270	153	413
271	154	412
272	154	412
273	155	411
274	155	410
275	156	410
276	156	409
277	157	408
278	157	408
279	158	407
280	158	406
281	159	406
282	159	405
283	160	404
284	160	403
285	161	403
286	161	402
287	162	401
288	163	401
289	163	400
290	164	399
291	164	399
292	165	398
293	165	397
294	166	397
295	166	396
296	167	395
297	167	395
298	168	394
299	168	393
300	169	393
301	169	392
302	170	392
303	171	391
304	171	390
305	172	390
306	172	389
307	173	388
308	173	388
309	174	387
310	174	387
311	175	386
312	175	385
313	176	385
314	176	384
315	177	384
316	177	383
317	178	382
318	178	382
319	179	381
320	179	380
321	180	380
322	181	379
323	181	378
324	182	378
325	182	377
326	183	377
327	183	376
328	184	376
329	184	375
330	185	374
331	186	374
332	186	373
333	187	373
334	187	372
335	188	372
336	188	371
337	189	370
338	189	370
339	190	369
340	191	369
341	191	368
342	192	367
343	192	367
344	193	366
345	193	365
346	194	365
347	194	364
348	195	364
349	195	363
350	196	362
351	196	362
352	197	361
353	197	361
354	198	360
355	198	359
356	199	359
357	199	358
358	200	358
359	201	357
360	201	356
361	202	356
362	202	355
363	203	354
364	203	354
365	204	353
366	204	352
367	205	352
368	205	351
369	206	351
370	206	350
371	207	349
372	207	349
373	208	348
374	208	348
375	209	347
376	209	346
377	210	346
378	210	345
379	211	345
380	212	344
381	212	343
382	213	343
383	213	342
384	214	342
385	214	341
386	215	340
387	215	340
388	216	339
389	216	339
390	217	338
391	218	338
392	218	337
393	219	336
394	219	336
395	219	335
396	220	334
397	221	334
398	221	333
399	222	333
400	222	332
401	223	332
402	223	331
403	224	330
404	224	330
405	225	329
406	225	329
407	226	328
408	226	327
409	227	327
410	227	326
411	228	326
412	228	325
413	229	324
414	229	324
415	230	323
416	230	322
417	231	322
418	231	321
419	232	320
420	232	320
421	233	319
422	234	319
423	234	318
424	235	317
425	235	317
426	236	316
427	236	316
428	237	315
429	237	315
430	238	314
431	238	313
432	239	313
433	239	312
434	240	312
435	240	311
436	241	310
437	241	310
438	242	309
439	242	309
440	243	308
441	243	307
442	244	307
443	244	306
444	245	306
445	245	305
446	246	304
447	247	304
448	247	303
449	248	303
450	248	302
451	249	302
452	249	301
453	250	300
454	250	300
455	251	299
456	251	299
457	252	298
458	253	298
459	253	297
460	254	297
461	254	296
462	255	296
463	255	295
464	256	294
465	256	294
466	257	294
467	258	293
468	258	292
469	259	292
470	259	291
471	260	291
472	260	290
473	261	290
474	262	289
475	262	289
476	263	288
477	264	288
478	264	288
479	265	287
480	266	287
481	266	286
482	267	285
483	267	285
484	268	284
485	268	284
486	269	283
487	270	283
488	270	283
489	271	282
490	271	281
491	272	281
492	273	280
493	273	280
494	274	279
495	275	279
496	275	278
497	276	278
498	276	277
499	277	277
500	277	276
501	278	276
502	279	275
503	279	275
504	280	274
505	280	274
506	281	273
507	282	273
508	282	272
509	283	271
510	283	271
511	284	270
512	284	270
513	285	269
514	285	269
515	286	268
516	286	267
517	287	267
518	287	266
519	288	266
520	288	265
521	289	264
522	289	264
523	290	263
524	290	263
525	291	262
526	292	262
527	292	261
528	293	261
529	294	260
530	294	260
531	295	259
532	296	259
533	297	259
534	297	258
535	298	258
536	299	258
537	300	257
538	300	257
539	301	256
540	302	256
541	302	255
542	303	255
543	304	254
544	304	254
545	305	253
546	305	253
547	306	252
548	307	252
549	307	251
550	308	251
551	309	250
552	309	250
553	310	249
554	310	249
555	311	248
556	312	248
557	312	247
558	313	247
559	314	246
560	314	246
561	315	245
562	316	245
563	316	245
564	317	244
565	318	243
566	318	243
567	319	242
568	319	242
569	320	241
570	321	241
571	321	240
572	322	240
573	323	239
574	323	239
575	324	238
576	325	238
577	325	237
578	326	237
579	327	236
580	327	236
581	328	235
582	329	235
583	329	234
584	330	234
585	330	233
586	331	233
587	331	232
588	332	232
589	333	231
590	333	231
591	334	230
592	335	229
